state,x,y
Andhra Pradesh,-110.0,-205.0
Arunachal Pradesh,236.0,107.0
Assam,233.0,70.0
Bihar,60.0,54.0
Chhattisgarh,-32.0,-58.0
Goa,-221.0,-205.0
Gujarat,-265.0,-22.0
Haryana,-155.0,146.0
Himachal Pradesh,-136.0,221.0
Jharkhand,43.0,9.0
Jammu And Kashmir,-185.0,280.0
Karnataka,-180.0,-200.0
Kerala,-177.0,-314.0
Madhya Pradesh,-143.0,-21.0
Maharashtra,-191.0,-105.0
Manipur,257.0,30.0
Meghalaya,162.0,49.0
Mizoram,234.0,-3.0
Nagaland,277.0,64.0
Odisha,20.0,-78.0
Punjab,-175.0,183.0
Rajasthan,-239.0,74.0
Sikkim,135.0,100.0
Tamil Nadu,-119.0,-298.0
Telangana,-101.0,-142.0
Tripura,176.0,0.0
Uttar Pradesh,-65.0,88.0
Uttarakhand,-93.0,169.0
West Bengal,106.0,-13.0
